# JPWiki Japanese localization data
# kind	key	english	japanese
gmst	sCheekblush		ほほの赤み 薄い/濃い
gmst	sCheekboneslow		頬骨 低い/高い
gmst	sCheekbonesshallow		ほほ骨 浅い/出ている
gmst	sCheekbonesthin		ほお骨　細い/広い
gmst	sCheeks		ほほ
gmst	sCheeksconcave		ほほ 凹/凸
gmst	sCheeksround		ほほ 膨れている/やせている
gmst	sChin		頤(おとがい)
gmst	sChinforward		頤(おとがい) 前/後
gmst	sChinpronounced		頤(おとがい) 出ている/奥まっている
gmst	sChinretracted		頤(おとがい)　引っ込める/突き出す
gmst	sChinshallow		頤(おとがい) 出ている/引いている
gmst	sChinsmall		頤(おとがい)　細い/太い
gmst	sChintall		頤(おとがい) 高い/短い
gmst	sChinwide		頤(おとがい) 広い/とがっている
gmst	sChoose		選択
gmst	sClass		クラス
gmst	sClassMenuPrompt		カスタムクラスの名前を入れてください:
gmst	sClassSpecialization		特化:
gmst	sCloseButton		閉じる
gmst	sColor		髪の色
gmst	sCombatDescription		以下の技能について、使用した際の向上をより早くすることができます:Armorer、Athletics、Blade、Block、Blunt、HandToHand、HeavyArmor
gmst	sCombatName		戦闘
gmst	sComplexion		肌の色
gmst	sConfirmBirthsign1		この星座の生まれでよろしいですか:
gmst	sConfirmBuySpell		買いますか？
gmst	sConfirmChoice1		次の通りでよろしいですか:
gmst	sConfirmChoice2		次の通りでよろしいですか:
gmst	sConfirmRecharge		このアイテムのリチャージに必要なもの:
gmst	sConfirmRepair		このアイテムの修理に必要なもの:
gmst	sConfirmRepairAll		全てのアイテム修理に必要なもの:
gmst	sContinue		続ける
gmst	sContinueLastSave		一番最後のセーブデータをロードしますか？
gmst	sContinueText		プレイを続けますか？
gmst	sContractedDisease		病気にかかってしまったようだ。
gmst	sControlsMenuConfirmReset1		すべてリセット
gmst	sControlsMenuConfirmReset2		初期値に戻します
gmst	sControlsMenuInstructions1		次のキーを押してください
gmst	sControlsMenuInstructions2		このアクションを割り当てたいボタン
gmst	sCorruptContentMessage		ダウンロードしたコンテンツは壊れていて読み込めません。
gmst	sCreate		作成
gmst	sCreaturesDontYield		creatureに降参は通じません！
gmst	sCrimeTypeAttack		攻撃
gmst	sCrimeTypeMurder		殺人
gmst	sCrimeTypePickpocket		スリ
gmst	sCrimeTypeSteal		盗品
gmst	sCrimeTypeStealHorse		盗んだ馬
gmst	sCrimeTypeTrespass		不法侵入
gmst	sCurrentSoul		現在の魂のレベル
gmst	sCustomClassDefaultName		冒険家
gmst	sCustomColor		カスタムカラー
gmst	sDefaultCellName		荒野
gmst	sDeleteSaveGame		本当にこのセーブデータを削除しますか？
gmst	sDeleteSuccessful		セーブデータを削除しました。
gmst	sDerivedAttributeDescEncumbrance		現在の所持品の重量と最大積載重量です。最大積載重量を越えている場合は、重量を減らさないと動く事ができません。
gmst	sDerivedAttributeDescFatigue		Fatigueはあなたの疲れ具合を示します。Fatigueの値の低下は、あなたの行動の効果に影響し、特に近接攻撃のダメージが小さくなります。走るより歩いている方が早く回復します。
gmst	sDerivedAttributeDescHealth		耐えられるダメージの総量です。睡眠、薬や魔法などで回復します。
gmst	sDerivedAttributeDescMagicka		魔法の詠唱に使用します。Willpowerの数値に応じて徐々に回復します。睡眠、魔法、ポーションなどでも回復できます。
gmst	sDerivedAttributeNameEncumbrance		積載重量
gmst	sDeviceKeyboard		キーボード
gmst	sDeviceMouse		マウス
gmst	sDeviceRemoved		選択中のデバイスが利用できません。新たなデバイスを選択するまでは、オートセーブが無効になります。
gmst	sDiscoveredText		発見:
gmst	sDone		完了
gmst	sDownloads		ダウンロード
gmst	sDownloadsAvailable		新しいコンテンツがあります。
gmst	sDownloadsNotAvail		新しいコンテンツはありません。
gmst	sDropEquippedItemWarning		動作が完了するまで、そのアイテムを捨てることはできません。
gmst	sDropQuestItemWarning		クエストアイテムを捨てることはできません。
gmst	sDuplicateName		その名前はすでに使われています。
gmst	sDurationText		効果時間
gmst	sEffectAlreadyAdded		その効果はすでに追加されています。そちらをエディットしてください。
gmst	sEnchantedItem		エンチャントアイテム
gmst	sEnchantmentSuccess		おめでとうございます！ 新しいエンチャントアイテムを作成しました。
gmst	sEnterName		キャラクターの名前を入力してください。
gmst	sEntryInstructions1		名前を入力してください:
gmst	sEntryInstructions2		あなたは創造しようとしています。
gmst	sEquipItemOnPlayer		はプレイヤーに装備された。
gmst	sEssentialCharacterDown		は意識を失った。
gmst	sExitGameAffirm		ゲーム終了
gmst	sExitGameQuestion		ゲームを終了しますか？
gmst	sEyebrows		眉毛
gmst	sEyebrowsdark		眉毛　明るい/暗い
gmst	sEyebrowslow		眉毛 低い/高い
gmst	sEyebrowslower		眉毛下部 明るい/暗い
gmst	sEyebrowsouter		眉のふち 明るい/暗い
gmst	sEyebrowsthick		眉毛　濃い/薄い
gmst	sEyebrowsuppert		眉毛の上　暗い/明るい
gmst	sEyebrowsvery		眉毛　とても細い/太い
gmst	sEyelidslight		まぶた　明るい/暗い
gmst	sEyelidspale		まぶた 青白い/赤みがかった
gmst	sEyeliner		目張り　明るい/暗い
gmst	sEyes		目
gmst	sEyesTex		目の影
gmst	sEyesdark		目 こげ茶/薄青
gmst	sEyesdown		目　下/上
gmst	sEyeshadow		アイシャドー 明るい/暗い
gmst	sEyesocketsbruised		眼窩 暗い/輝いた
gmst	sEyesocketsdark		眼窩 暗い/明るい
gmst	sEyessmall		目 小さい/大きい
gmst	sEyestilt		目 奥/手前
gmst	sEyestogether		目 よっている/離れている
gmst	sEyeswhites		白目 よどんでいる/輝いている
gmst	sFace		顔つき
gmst	sFacebrow		額/鼻/頤(おとがい)の比率
gmst	sFaceforehead		額/鼻梁/鼻の比率
gmst	sFaceheavy		顔 濃い/薄い
gmst	sFaceround		顔 丸い/やつれている
gmst	sFacethin		顔 細い/幅広い
gmst	sFastTravelHorseatGate		あなたの馬は街の門の外の厩舎にいます。
gmst	sFastTravelNoTravelHealthDamage		ダメージを受けている最中はファスト・トラベルを利用できません。
gmst	sFavoredAttributes		好きな特性を2つ選んでください。それぞれに+5のボーナスがつきます。
gmst	sFemale		女性
gmst	sFileNotFound		ファイルが見つかりません
gmst	sFilter		フィルター
gmst	sFindingContentMessage		検索中です。お待ちください。
gmst	sFloraFailureMessage		使えそうなものは何も見つからなかった。
gmst	sFloraSuccessMessage		%sを摘み取った。
gmst	sFor		金額:
gmst	sForehead		額
gmst	sForeheadsmall		額 狭い/広い
gmst	sForeheadtall		額 高い/狭い
gmst	sForeheadtilt		前額部傾斜 出ている/引っ込んでいる
gmst	sGender		性別
gmst	sGeneralFace		一般(顔)
gmst	sGeneralSkin		一般(皮膚)
gmst	sGetAllConfiscatedItems		衛兵に没収されたアイテムを取り戻しました。
gmst	sGiveAway		贈る:
gmst	sGold		ゴールド
gmst	sGotAwayWithStealing		盗みをしてのけた
gmst	sGoverningAttribute		従属特性値:
gmst	sGreen		緑
gmst	sHair		髪
gmst	sHairColor0		薄灰色
gmst	sHairColor1		濃灰色
gmst	sHairColor10		明るい赤銅色
gmst	sHairColor11		赤褐色
gmst	sHairColor12		暗藍色
gmst	sHairColor13		こげ茶
gmst	sHairColor14		灰色
gmst	sHairColor15		光沢のある金髪
gmst	sHairColor2		黒
gmst	sHairColor3		輝く金髪
gmst	sHairColor4		美貌の金髪
gmst	sHairColor5		淡褐色
gmst	sHairColor6		冷褐色
gmst	sHairColor7		金褐色
gmst	sHairColor8		赤銅色
gmst	sHairColor9		金髪
gmst	sHeavyArmorNoJump		重装鎧のせいでジャンプができません。
gmst	sHeavyArmorSink		重装鎧のために沈んでいきます。
gmst	sHigh		高
gmst	sHolidayEmperorsBirthday		皇帝誕生日
gmst	sIgnoreText		無視
gmst	sImpossibleLock		これを開けるには鍵が必要です。
gmst	sIngredientFail		この材料は効果がありません。
gmst	sInvalidPickpocket		スリの最中に箱にアイテムをいれることはできません。
gmst	sJaw		顎
gmst	sJawNeck		頭頸部 傾斜 高い/低い
gmst	sJawline		下顎の輪郭　凹/凸
gmst	sJawretracted		顎 奥まっている/突き出ている
gmst	sJawwide		顎 広い/細い
gmst	sJournalTitleActive		選択中のクエスト
gmst	sJournalTitleCompleted		完了したクエスト
gmst	sJournalTitleCompletedDetails		完了したクエストの詳細
gmst	sJournalTitleCurrent		進行中のクエスト
gmst	sKBDown		↓
gmst	sKBLControl		左ctrl
gmst	sKBLMenu		右alt
gmst	sKBLShift		左shift
gmst	sKBLeft		←
gmst	sKBMute		ミュート
gmst	sKBPause		ポーズ
gmst	sKBRControl		左ctrl
gmst	sKBRMenu		左alt
gmst	sKBRShift		右shift
gmst	sKBRight		→
gmst	sKBSleep		寝る
gmst	sKBUnlabeled		未分類
gmst	sKBWake		起きる
gmst	sKBWebRefresh		更新
gmst	sKBWebSearch		検索
gmst	sKeyLocked		このキーは再割り当てできません
gmst	sKnownEffects		既知の効果
gmst	sLarge		大きい
gmst	sLeaveMarker		戻る
gmst	sLength		長さ
gmst	sLevelDefault		厳しい仕事の結果も熱心さも偶然のように見えるかもしれません。しかし、あなたは自分の成功は全て自分で勝ち取ったものであることを知っているのです。
gmst	sLevelDoneWarning		始める前に特性ポイントの割り振りを終わらせなければなりません。
gmst	sLevelPopUpText		メジャースキルが上達することによって、レベルが上昇します。
gmst	sLevelUp10		目が覚めて、新しい目的を得たような感覚がしました。失敗はもう怖くありません。失敗は新しいことを学ぶ機会に過ぎないのです。
gmst	sLevelUp11		賢いことが害になることはありません。そこにちょっと幸運があると素敵です。しかし鍵となるのは忍耐と熱心な努力なのです。
gmst	sLevelUp12		こんなに簡単なのが信じられません。ただすればよいのです……ちょっと変わったことを。すると突然、全てが理解でき、行動の全てが金のような価値があるように思えるのです。
gmst	sLevelUp13		本当に驚くべきことです。昨日は難しかったことが、今日は簡単です。一晩の眠りだけで、昨日の謎が、今日の得意になっているのです。
gmst	sLevelUp14		目が覚めると、体に元気とアイデアがみなぎり、なぜか一晩で全てが変わったように思えました。一日でこんなに変わるものなのでしょうか。
gmst	sLevelUp15		できる限り自分のピークを保ちたいと思っています。Tamrielで自分より強い人はいないけれど、若い人は常にいて、新しい挑戦者になるのでしょう。
gmst	sLevelUp16		これまでは頑張り過ぎ、考えすぎでした。リラックスしてください。自分の直感を信じて、自分自身でいてください。小さいことを実行し、大きいことは放っておきましょう。
gmst	sLevelUp17		まだ人生は終わっていません。まだ賢く、経験を積むことはできます。しかし肉体と魂が若返ることはありません。
gmst	sLevelUp18		自分の人生で、肉体は罰を受けた…限界が存在し、そこまでたどり着いてしまったかもしれません。これが年を取るということなのでしょうか？
gmst	sLevelUp19		あなたは本当に素晴らしい。あなたが世界で一番なのかもしれません。そのためにこれ以上の向上は非常に難しくなっています。しかし、頑張ってください。それがあなたのやり方なのですから。
gmst	sLevelUp2		今までの人生は夢の中を惰性で生きてきたかのようなものだと気づいたことでしょう。ここ数日の試練で、生き生きとしてきました。
gmst	sLevelUp20		超人のような努力で、後ろにすべり落ちることを避けてきました。しかしいつの日か、一歩踏み外すか、タイミングを逃すか、見落としてしまうのか…そして永遠に旅立ってしまうかもしれません。
gmst	sLevelUp3		成功の秘密をつかんだように思いました。問題は集中なのです。
gmst	sLevelUp4		つらい道を進んできました。しかし危険を冒さず、失敗の責任も負わず……それで何をどのように理解できるというのでしょう？
gmst	sLevelUp5		やること全てがもう少し簡単に、より直感的で、満足のいくものになっています。まるで突然に鋭い感覚と直感を得たかのようです。
gmst	sLevelUp6		Cyrodiilについて、そして自分自身について多くを学びました。自分がいかに無知であったか信じるのはつらいですが、今は学ぶべきことが沢山あります。
gmst	sLevelUp7		自分の限界への挑戦を続けています。あなたには自分が思っていた以上の力があるのかもしれません。
gmst	sLevelUp8		秘密は熱心な努力にあるのかもしれません。しかし、これはひたむきな情熱、インスピレーションの一種でもあるのです。
gmst	sLevelUp9		そう、こういうものなのです。一歩ずつ進み、上を見て、とぼとぼ歩き続ける…そして突然気がつくと望んでいた場所に立っているのです。
gmst	sLips		唇
gmst	sLipsflushed		唇　赤い/青白い
gmst	sLipstickdarkblue		唇 青/薄赤
gmst	sLipstickdarkred		口紅 真紅/薄青
gmst	sLoadFromMainMenu		このセーブデータをロードしますか？
gmst	sLoadWhilePlaying		このセーブデータをロードしますか？ (保存していないデータは失われます)
gmst	sLoadingArea		エリアをロード中…
gmst	sLoadingContentMessage		追加コンテンツをロードしています。お待ちください。
gmst	sLoadingLOD		distant LODをロードしています。
gmst	sLockLevelNameAverage		ごく普通
gmst	sLockLevelNameEasy		簡単
gmst	sLockLevelNameHard		難しい
gmst	sLockLevelNameImpossible		鍵が必要
gmst	sLockLevelNameVeryEasy		非常に簡単
gmst	sLockLevelNameVeryHard		非常に困難
gmst	sLockLevelText		鍵の難度
gmst	sLockedContainer		これを開けるには鍵もしくはロックピックが必要です。
gmst	sLook		視点
gmst	sLow		低
gmst	sLowSoul		このエンチャントに対してSoul Gemが十分な強さを持っていません。
gmst	sMagicAlreadyFull		Magickaは完全に回復しているので、Welkynd Stoneはそのまま残っています。
gmst	sMagicCastConstant		衣服
gmst	sMagicCastInsufficientMagicka		Magickaが足りません。
gmst	sMagicCastInsufficientSkill		スキルが不足しています。
gmst	sMagicCastMultipleBoundEffects		すでに同じものを持っています。
gmst	sMagicCastOnce		巻物
gmst	sMagicCastPowerUsed		Powerは1日に1回だけ使えます。
gmst	sMagicCastRangedUnderwater		水中でその魔法を唱えることはできません。
gmst	sMagicCastSilenced		魔法を封じられています。
gmst	sMagicCastWhenStrikes		武器
gmst	sMagicCastWhenUsed		杖
gmst	sMagicCostliestEffectRequires		必要条件:
gmst	sMagicCostliestEffectSkillOf		必要技能レベル:
gmst	sMagicDescription		以下の技能について、使用した際の向上をより早くすることができます:Alchemy、Alteration、Conjuration、Illusion、Mysticism、Restoration
gmst	sMagicEffectItemCreateLock		作成
gmst	sMagicEffectItemFeet		フィート
gmst	sMagicEffectItemFor		有効時間:
gmst	sMagicEffectItemLock		な鍵
gmst	sMagicEffectItemOn		対象:
gmst	sMagicEffectItemPointsPlural		ポイント
gmst	sMagicEffectItemPointsSingular		ポイント
gmst	sMagicEffectItemSecondsPlural		秒
gmst	sMagicEffectItemSecondsSingular		秒
gmst	sMagicEffectItemUpToLevel		を次まで上昇させる:レベル
gmst	sMagicEffectResisted		無効化
gmst	sMagicName		魔法
gmst	sMagicProjectileTypeBall		球
gmst	sMagicProjectileTypeBolt		電撃
gmst	sMagicProjectileTypeFog		霧
gmst	sMagicProjectileTypeSpray		拡散
gmst	sMagicRangeSelf		自分自身
gmst	sMagicRangeStrike		攻撃
gmst	sMagicRangeTarget		任意の目標
gmst	sMagicRangeTouch		接触した相手
gmst	sMagicSchool		系統
gmst	sMagicTypeAbility		能力
gmst	sMagicTypeDisease		病気
gmst	sMagicTypeEnchantment		魔力付与
gmst	sMagicTypeLesserPower		弱い
gmst	sMagicTypePoison		毒
gmst	sMagicTypePotion		薬
gmst	sMagicTypePower		パワー
gmst	sMagicTypeSpell		魔法
gmst	sMagnitudeIsLevelText		目標レベル
gmst	sMagnitudeText		威力
gmst	sMain		メイン
gmst	sMainMenu		メインメニュー
gmst	sMajorSkills		メジャースキルを7つ選んでください。選んだスキルは25(見習いレベル)から始まります。
gmst	sMakeDefaults		デフォルトの設定にしますか？
gmst	sMale		男性
gmst	sMapMarkerAdded		マーカーを追加しました。
gmst	sMapMarkerNotFound		訪れたことのない場所へは移動できません。
gmst	sMaxPotionsExceeded		今はこれ以上薬を飲むことはできません。
gmst	sMeditate		一晩ベッドで休んで、自分が学んだことを復習しましょう。
gmst	sMedium		普通
gmst	sMenuDisplayAutosaveName		オートセーブ
gmst	sMenuDisplayDayString		経過日数
gmst	sMenuDisplayLevelString		レベル
gmst	sMenuDisplayNewSave		新たにセーブ
gmst	sMenuDisplayNoSaves		セーブデータはありません。
gmst	sMenuDisplayPlayTime		プレイ時間
gmst	sMenuDisplayQuicksaveName		クイックセーブ
gmst	sMenuDisplaySave		セーブ
gmst	sMenuDisplayShortXBoxSaveMessage		セーブしました。
gmst	sMenuDisplayUnknownLocationString		未確認地域
gmst	sMerchantNoGold		商人は十分な金を持っていません。
gmst	sMiscActiveQuests		進行中のクエスト:
gmst	sMiscApprenticeSkills		見習いスキル:
gmst	sMiscArtifactsFound		遺物の発見数:
gmst	sMiscBounty		賞金額:
gmst	sMiscCharge		チャージ
gmst	sMiscConstantEffect		常時効果
gmst	sMiscDaysAsAVampire		ヴァンパイアだった日数:
gmst	sMiscDaysJailed		服役した日数:
gmst	sMiscDiseasesContracted		病気にかかった回数:
gmst	sMiscExpertSkills		上級スキル:
gmst	sMiscFame		名声:
gmst	sMiscGameDaysPlayed		経過した日数:
gmst	sMiscHighLockLevel		もっとも高いレベルの鍵をあけた数:
gmst	sMiscHorsesOwned		所有した馬の数:
gmst	sMiscHoursSlept		睡眠時間:
gmst	sMiscHoursWaited		待機した時間:
gmst	sMiscHousesOwned		所有した家の数:
gmst	sMiscInfamy		悪名:
gmst	sMiscIngredientsEaten		試食/消費した材料の数:
gmst	sMiscJokesTold		冗談を話した回数:
gmst	sMiscJourneymanSkills		熟練スキル:
gmst	sMiscLargestBounty		最大賞金額:
gmst	sMiscMasterSkills		達人スキル:
gmst	sMiscNirnrootsFound		Nirnroots発見数:
gmst	sMiscNoviceSkills		未熟なスキル:
gmst	sMiscNumAssaults		先制攻撃回数:
gmst	sMiscNumBooksRead		読んだ本の冊数:
gmst	sMiscNumHorsesStolen		盗んだ馬の数:
gmst	sMiscNumKills		殺した敵の数:
gmst	sMiscNumLocksPicked		鍵をこじ開けた回数:
gmst	sMiscNumMurders		殺人回数:
gmst	sMiscNumPersonKills		殺した人間:
gmst	sMiscNumPicksBroken		壊したロックピックの数:
gmst	sMiscNumPlacesDiscovered		発見した場所の数:
gmst	sMiscNumPocketsPicked		スリをした回数:
gmst	sMiscNumSkillBooksRead		本から学んだスキルの数:
gmst	sMiscNumThefts		盗んだアイテムの数:
gmst	sMiscNumTrespasses		不法侵入回数:
gmst	sMiscOblivionGatesShut		閉じたOblivion Gateの数:
gmst	sMiscPeopleFedOn		吸血回数:
gmst	sMiscPlayerDeadLoadOption		リロード
gmst	sMiscPlayerDeadMenuOption		メインメニュー
gmst	sMiscPlayerDeadMessage		現在のセーブデータをロードしますか？
gmst	sMiscPotionsMade		作成した薬:
gmst	sMiscQuestsCompleted		完了したクエスト:
gmst	sMiscSkillAdvances		上昇したスキル:
gmst	sMiscSoulsTrapped		魂を捕らえた回数:
gmst	sMiscStoresInvestedIn		店に投資した回数:
gmst	sMiscTimesCured		病気を治癒した回数:
gmst	sMiscTrainingSessions		訓練を受けた回数:
gmst	sMiscUses		使用
gmst	sMissingSpellName		有効な魔法の名前をまず決めなければなりません。
gmst	sMouseButton3		3ボタン
gmst	sMouseButton4		4ボタン
gmst	sMouseButton5		5ボタン
gmst	sMouseButton6		6ボタン
gmst	sMouseButton7		7ボタン
gmst	sMouseButton8		8ボタン
gmst	sMouseLeftButton		左ボタン
gmst	sMouseMiddleButton		マウスホイール
gmst	sMouseRightButton		右ボタン
gmst	sMouth		口
gmst	sMouthChin		唇-口の長さ　短い/長い
gmst	sMouthLips		口(唇)
gmst	sMouthdrawn		口　開く/すぼめる
gmst	sMouthhappy		口 幸/不幸
gmst	sMouthhigh		口元 高い/低い
gmst	sMouthlipsdeflated		唇　薄い/厚い
gmst	sMouthlipslarge		唇 大きい/小さい
gmst	sMouthlipspuckered		唇 おちょぼ口/引っ込んでいる
gmst	sMouthprotruding		口 突き出ている/引っ込んでいる
gmst	sMouthtilt		口の傾き 上げる/下げる
gmst	sMouthunderbite		口 前歯反対咬合/過蓋咬合
gmst	sMove		移動
gmst	sMoveMarker		移動する
gmst	sMoveMarkerQuestion		マーカーを移動もしくは削除しますか？
gmst	sMustRestart		設定を反映させるにはゲームの再起動が必要です。
gmst	sNamePotion		薬の名前
gmst	sNares		鼻孔 小さい/大きい
gmst	sNasolabiallines		鼻唇溝　明るい/暗い
gmst	sNewGame		新規ゲーム
gmst	sNo		いいえ
gmst	sNoCharge		エンチャントアイテムのチャージが不足しています。
gmst	sNoDevice		デバイスが見つかりません。
gmst	sNoDeviceSelected		保存デバイスを選択していません。セーブするためにはデバイスを選んでください。それまではオートセーブが無効になります。
gmst	sNoEatQuestItem		クエストアイテムは食べられません。
gmst	sNoFX		魔術品をつくるには、最低1つはエフェクトを選ぶ必要があります。
gmst	sNoFastTravelAlarm		ガードに追われている間はファスト・トラベルを利用できません。
gmst	sNoFastTravelCell		この場所からはファスト・トラベルを利用できません。
gmst	sNoFastTravelCombat		敵が側にいる間はファスト・トラベルを利用できません。
gmst	sNoFastTravelScriptBlock		現在ここではファスト・トラベルは利用できません。
gmst	sNoHammer		ハンマーが必要です。
gmst	sNoItem		はじめにエンチャントするアイテムを選んでください。
gmst	sNoItemsToRecharge		リチャージの必要なアイテムがありません。
gmst	sNoJumpWarning		空中に浮いている間は物を置けません。
gmst	sNoLockPick		ロックピックを持っていません。
gmst	sNoLockPickIfCrimeAlert		衛兵に追われている最中は鍵開けできません。
gmst	sNoLockPickKey		ロックピックもしくは鍵が必要です。
gmst	sNoMoreFollowers		同伴者が多すぎます。
gmst	sNoMortor		薬の作成にはすりこぎとすり鉢が必要です。
gmst	sNoName		この魔術品のために、有効な名前を決めてください。
gmst	sNoNameCharacter		最初に有効な名前を入力しなければなりません。
gmst	sNoPickPocketAgain		はもうあなたに気づいている。
gmst	sNoProfileSelected		ゲーマープロファイルにサインインしていません。セーブするにはゲーマープロファイルにサインインして保存デバイスを選ぶ必要があります。それまでオートセーブは無効になります。
gmst	sNoRepairMagic		魔力を持ったアイテムを修理するには熟練スキル以上が必要です。
gmst	sNoRestart		いいえ、続けます。
gmst	sNoSitOnOwnedFurniture		人が所有する家具に座ることはできません。
gmst	sNoSleepCombat		敵が側にいる間に眠ることはできません。
gmst	sNoSleepHostilActorsNear		敵が側にいる間に寝ることはできません。
gmst	sNoSleepInOwnedBed		人のベッドで寝ることはできません。
gmst	sNoSleepTrespass		不法侵入中に寝ることはできません。
gmst	sNoSoul		対象に魔法をかけるために、魂で満たされたSoul Gemを選んでください。
gmst	sNoSoulGem		Soul Gemが必要です。
gmst	sNoSoulInGem		このSoul Gemは空です。使えるのは魂が入ったSoul Gemだけです。
gmst	sNoTalkFleeing		はあなたから逃げようとしている。
gmst	sNoTalkUnConscious		は意識を失っている。
gmst	sNoText		いいえ
gmst	sNoWaitHostilActorsNear		敵が側にいる間は待機できません。
gmst	sNoWaitInAir		空中に浮いている最中は待機できません。
gmst	sNoWaitInCell		この場所では待機できません。
gmst	sNoWaitInCombat		敵が側にいる間は待機できません。
gmst	sNoWaitInJail		懲役を終えるにはベッドで休息してください。
gmst	sNoWaitTrespass		不法侵入中に待機はできません。
gmst	sNoWaitUnderWater		水中で待機はできません。
gmst	sNoWaitWhileAlarmSounding		衛兵に追われている間は待機できません。
gmst	sNone		なし
gmst	sNormalWeaponsResisted		攻撃が効いていない。
gmst	sNose		鼻
gmst	sNoseTex		鼻の影
gmst	sNosebridgeshallow		鼻梁 浅い/深い
gmst	sNosebridgeshort		鼻梁　短い/長い
gmst	sNosedown		鼻 下/上
